movie_id,title,budget,keywords,original_language,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
19995,Avatar,237000000,"{'battle', 'space travel', 'culture clash', 'alien planet', 'cgi', 'future', 'space', 'society', 'anti war', 'love affair', 'romance', 'futuristic', '3d', 'marine', 'mind and soul', 'tribe', 'power relations', 'space war', 'space colony', 'soldier', 'alien'}",en,150.437577,"{'Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment', 'Dune Entertainment'}",2009-12-10,2787965087,162.0,7.2,11800,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
285,Pirates of the Caribbean: At World's End,300000000,"{'ocean', 'afterlife', 'alliance', 'pirate', 'drug abuse', 'strong woman', 'aftercreditsstinger', ""love of one's life"", 'exotic island', 'traitor', 'calypso', 'swashbuckler', 'fighter', 'ship', 'east india trading company', 'shipwreck'}",en,139.082615,"{'Jerry Bruckheimer Films', 'Second Mate Productions', 'Walt Disney Pictures'}",2007-05-19,961000000,169.0,6.9,4500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206647,Spectre,245000000,"{'mi6', 'united kingdom', 'spy', 'based on novel', 'british secret service', 'sequel', 'secret agent'}",en,107.37678799999999,"{'B24', 'Danjaq', 'Columbia Pictures'}",2015-10-26,880674609,148.0,6.3,4466,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49026,The Dark Knight Rises,250000000,"{'imax', 'batman', 'destruction', 'secret identity', 'vigilante', 'criminal underworld', 'cover-up', 'gotham city', 'flood', 'terrorism', 'burglar', 'tragic hero', 'cat burglar', 'hostage drama', 'crime fighter', 'time bomb', 'villainess', 'dc comics', 'superhero', 'catwoman', 'terrorist'}",en,112.31295,"{'Legendary Pictures', 'DC Entertainment', 'Syncopy', 'Warner Bros.'}",2012-07-16,1084939099,165.0,7.6,9106,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
49529,John Carter,260000000,"{'alien race', 'space travel', '19th century', 'based on novel', 'superhuman strength', 'martian', 'mars', 'alien', 'princess', 'sword and planet', '3d', 'steampunk', 'medallion', 'mars civilization', 'escape', 'edgar rice burroughs'}",en,43.926995,{'Walt Disney Pictures'},2012-03-07,284139100,132.0,6.1,2124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
559,Spider-Man 3,258000000,"{'forgiveness', 'superhero', 'spider', 'egomania', 'death of a friend', 'sandstorm', 'hostility', 'amnesia', ""love of one's life"", 'marvel comic', 'sand', 'sequel', 'revenge', 'narcism', 'dual identity', 'wretch'}",en,115.69981399999999,"{'Marvel Enterprises', 'Laura Ziskin Productions', 'Columbia Pictures'}",2007-05-01,890871626,139.0,5.9,3576,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38757,Tangled,260000000,"{'healing gift', 'magic', 'duringcreditsstinger', 'animal sidekick', 'hostage', 'princess', 'blonde woman', 'healing power', 'tower', 'fairy tale', 'based on fairy tale', 'horse', 'musical', 'animation', 'selfishness'}",en,48.681969,"{'Walt Disney Animation Studios', 'Walt Disney Pictures'}",2010-11-24,591794936,100.0,7.4,3330,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99861,Avengers: Age of Ultron,280000000,"{'superhero', 'duringcreditsstinger', 'marvel cinematic universe', '3d', 'marvel comic', 'sequel', 'based on comic book', 'vision', 'superhero team'}",en,134.27922900000002,"{'Prime Focus', 'Revolution Sun Studios', 'Marvel Studios'}",2015-04-22,1405403694,141.0,7.3,6767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
767,Harry Potter and the Half-Blood Prince,250000000,"{'teenage crush', 'magic', 'broom', 'werewolf', 'apparition', 'witch', 'wizardry', 'school of witchcraft'}",en,98.885637,"{'Heyday Films', 'Warner Bros.'}",2009-07-07,933959197,153.0,7.4,5293,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
209112,Batman v Superman: Dawn of Justice,250000000,"{'superhero', 'clark kent', 'bruce wayne', 'dc extended universe', 'based on comic book', 'vigilante', 'revenge', 'dc comics', 'super powers'}",en,155.790452,"{'DC Comics', 'RatPac-Dune Entertainment', 'Atlas Entertainment', 'Cruel & Unusual Films', 'DC Entertainment', 'Warner Bros.'}",2016-03-23,873260194,151.0,5.7,7004,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
