,movie_id,title,budget,keywords,original_language,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,roi
0,19995,Avatar,237000000,"{'space colony', 'battle', 'power relations', 'marine', 'romance', 'space', 'space war', 'love affair', 'soldier', 'alien planet', 'culture clash', '3d', 'space travel', 'cgi', 'futuristic', 'tribe', 'alien', 'society', 'mind and soul', 'anti war', 'future'}",en,150.437577,"{'Ingenious Film Partners', 'Dune Entertainment', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment'}",2009-12-10,2787965087,162.0,7.2,11800,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10.763565767932489
1,285,Pirates of the Caribbean: At World's End,300000000,"{'traitor', 'exotic island', 'pirate', 'east india trading company', 'fighter', 'ship', 'aftercreditsstinger', 'alliance', 'swashbuckler', 'calypso', 'afterlife', ""love of one's life"", 'drug abuse', 'ocean', 'shipwreck', 'strong woman'}",en,139.082615,"{'Jerry Bruckheimer Films', 'Second Mate Productions', 'Walt Disney Pictures'}",2007-05-19,961000000,169.0,6.9,4500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.203333333333333
2,206647,Spectre,245000000,"{'based on novel', 'united kingdom', 'british secret service', 'spy', 'mi6', 'sequel', 'secret agent'}",en,107.376788,"{'Columbia Pictures', 'Danjaq', 'B24'}",2015-10-26,880674609,148.0,6.3,4466,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5945902408163266
3,49026,The Dark Knight Rises,250000000,"{'cat burglar', 'hostage drama', 'criminal underworld', 'dc comics', 'terrorism', 'gotham city', 'superhero', 'destruction', 'catwoman', 'crime fighter', 'cover-up', 'flood', 'batman', 'time bomb', 'imax', 'villainess', 'tragic hero', 'secret identity', 'vigilante', 'burglar', 'terrorist'}",en,112.31295,"{'DC Entertainment', 'Warner Bros.', 'Legendary Pictures', 'Syncopy'}",2012-07-16,1084939099,165.0,7.6,9106,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.339756396
4,49529,John Carter,260000000,"{'martian', 'edgar rice burroughs', 'based on novel', 'sword and planet', 'alien', 'escape', '19th century', 'steampunk', 'mars', '3d', 'princess', 'space travel', 'alien race', 'superhuman strength', 'mars civilization', 'medallion'}",en,43.926995,{'Walt Disney Pictures'},2012-03-07,284139100,132.0,6.1,2124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0928426923076923
5,559,Spider-Man 3,258000000,"{'narcism', 'amnesia', 'dual identity', 'wretch', 'hostility', 'superhero', 'egomania', 'sand', 'revenge', 'forgiveness', ""love of one's life"", 'marvel comic', 'sequel', 'death of a friend', 'spider', 'sandstorm'}",en,115.699814,"{'Marvel Enterprises', 'Laura Ziskin Productions', 'Columbia Pictures'}",2007-05-01,890871626,139.0,5.9,3576,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.4529907984496124
6,38757,Tangled,260000000,"{'fairy tale', 'healing gift', 'selfishness', 'magic', 'healing power', 'horse', 'animal sidekick', 'princess', 'tower', 'blonde woman', 'hostage', 'duringcreditsstinger', 'animation', 'based on fairy tale', 'musical'}",en,48.681969,"{'Walt Disney Animation Studios', 'Walt Disney Pictures'}",2010-11-24,591794936,100.0,7.4,3330,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2761343692307692
7,99861,Avengers: Age of Ultron,280000000,"{'superhero', '3d', 'vision', 'marvel cinematic universe', 'duringcreditsstinger', 'marvel comic', 'sequel', 'based on comic book', 'superhero team'}",en,134.27922900000002,"{'Marvel Studios', 'Prime Focus', 'Revolution Sun Studios'}",2015-04-22,1405403694,141.0,7.3,6767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.019298907142857
8,767,Harry Potter and the Half-Blood Prince,250000000,"{'teenage crush', 'wizardry', 'magic', 'werewolf', 'school of witchcraft', 'witch', 'broom', 'apparition'}",en,98.885637,"{'Heyday Films', 'Warner Bros.'}",2009-07-07,933959197,153.0,7.4,5293,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.735836788
9,209112,Batman v Superman: Dawn of Justice,250000000,"{'clark kent', 'dc extended universe', 'superhero', 'super powers', 'dc comics', 'vigilante', 'based on comic book', 'bruce wayne', 'revenge'}",en,155.790452,"{'Cruel & Unusual Films', 'DC Comics', 'Warner Bros.', 'RatPac-Dune Entertainment', 'DC Entertainment', 'Atlas Entertainment'}",2016-03-23,873260194,151.0,5.7,7004,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.493040776
