,index,title,first_genre
0,19995,Avatar,Action
1,285,Pirates of the Caribbean: At World's End,Adventure
2,206647,Spectre,Action
3,49026,The Dark Knight Rises,Action
4,49529,John Carter,Action
5,559,Spider-Man 3,Fantasy
6,38757,Tangled,Animation
7,99861,Avengers: Age of Ultron,Action
8,767,Harry Potter and the Half-Blood Prince,Adventure
9,209112,Batman v Superman: Dawn of Justice,Action
10,1452,Superman Returns,Adventure
11,10764,Quantum of Solace,Adventure
12,58,Pirates of the Caribbean: Dead Man's Chest,Adventure
13,57201,The Lone Ranger,Action
14,49521,Man of Steel,Action
15,2454,The Chronicles of Narnia: Prince Caspian,Adventure
16,24428,The Avengers,Science Fiction
17,1865,Pirates of the Caribbean: On Stranger Tides,Adventure
18,41154,Men in Black 3,Action
19,122917,The Hobbit: The Battle of the Five Armies,Action
20,1930,The Amazing Spider-Man,Action
21,20662,Robin Hood,Action
22,57158,The Hobbit: The Desolation of Smaug,Adventure
23,2268,The Golden Compass,Adventure
24,254,King Kong,Adventure
25,597,Titanic,Drama
26,271110,Captain America: Civil War,Adventure
27,44833,Battleship,Thriller
28,135397,Jurassic World,Action
29,37724,Skyfall,Action
30,558,Spider-Man 2,Action
31,68721,Iron Man 3,Action
32,12155,Alice in Wonderland,Family
33,36668,X-Men: The Last Stand,Adventure
34,62211,Monsters University,Animation
35,8373,Transformers: Revenge of the Fallen,Science Fiction
36,91314,Transformers: Age of Extinction,Science Fiction
37,68728,Oz: The Great and Powerful,Fantasy
38,102382,The Amazing Spider-Man 2,Action
39,20526,TRON: Legacy,Adventure
40,49013,Cars 2,Animation
41,44912,Green Lantern,Adventure
42,10193,Toy Story 3,Animation
43,534,Terminator Salvation,Action
44,168259,Furious 7,Action
45,72190,World War Z,Action
46,127585,X-Men: Days of Future Past,Action
47,54138,Star Trek Into Darkness,Action
48,81005,Jack the Giant Slayer,Action
49,64682,The Great Gatsby,Drama
50,9543,Prince of Persia: The Sands of Time,Adventure
51,68726,Pacific Rim,Action
52,38356,Transformers: Dark of the Moon,Action
53,217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure
54,105864,The Good Dinosaur,Adventure
55,62177,Brave,Animation
56,188927,Star Trek Beyond,Action
57,10681,WALL·E,Animation
58,5174,Rush Hour 3,Action
59,14161,2012,Action
60,17979,A Christmas Carol,Animation
61,76757,Jupiter Ascending,Science Fiction
62,258489,The Legend of Tarzan,Action
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure
64,246655,X-Men: Apocalypse,Science Fiction
65,155,The Dark Knight,Drama
66,14160,Up,Animation
67,15512,Monsters vs Aliens,Animation
68,1726,Iron Man,Action
69,44826,Hugo,Adventure
70,8487,Wild Wild West,Action
71,297761,Suicide Squad,Action
72,2698,Evan Almighty,Fantasy
73,137113,Edge of Tomorrow,Action
74,9804,Waterworld,Adventure
75,14869,G.I. Joe: The Rise of Cobra,Adventure
76,150540,Inside Out,Drama
77,278927,The Jungle Book,Family
78,10138,Iron Man 2,Adventure
79,58595,Snow White and the Huntsman,Adventure
80,102651,Maleficent,Fantasy
81,119450,Dawn of the Planet of the Apes,Science Fiction
82,64686,47 Ronin,Drama
83,100402,Captain America: The Winter Soldier,Action
84,10192,Shrek Forever After,Comedy
85,158852,Tomorrowland,Adventure
86,177572,Big Hero 6,Adventure
87,82690,Wreck-It Ralph,Family
88,5255,The Polar Express,Adventure
89,47933,Independence Day: Resurgence,Action
90,10191,How to Train Your Dragon,Fantasy
91,296,Terminator 3: Rise of the Machines,Action
92,118340,Guardians of the Galaxy,Action
93,157336,Interstellar,Adventure
94,27205,Inception,Action
95,49051,The Hobbit: An Unexpected Journey,Adventure
96,9799,The Fast and the Furious,Action
97,4922,The Curious Case of Benjamin Button,Fantasy
