,id,name,budget,original_title,vote_average,vote_count
0,19995,Action,237000000,Avatar,7.2,11800
1,19995,Adventure,237000000,Avatar,7.2,11800
2,19995,Fantasy,237000000,Avatar,7.2,11800
3,19995,Science Fiction,237000000,Avatar,7.2,11800
0,285,Adventure,300000000,Pirates of the Caribbean: At World's End,6.9,4500
1,285,Fantasy,300000000,Pirates of the Caribbean: At World's End,6.9,4500
2,285,Action,300000000,Pirates of the Caribbean: At World's End,6.9,4500
0,206647,Action,245000000,Spectre,6.3,4466
1,206647,Adventure,245000000,Spectre,6.3,4466
2,206647,Crime,245000000,Spectre,6.3,4466
0,49026,Action,250000000,The Dark Knight Rises,7.6,9106
1,49026,Crime,250000000,The Dark Knight Rises,7.6,9106
2,49026,Drama,250000000,The Dark Knight Rises,7.6,9106
3,49026,Thriller,250000000,The Dark Knight Rises,7.6,9106
0,49529,Action,260000000,John Carter,6.1,2124
1,49529,Adventure,260000000,John Carter,6.1,2124
2,49529,Science Fiction,260000000,John Carter,6.1,2124
0,559,Fantasy,258000000,Spider-Man 3,5.9,3576
1,559,Action,258000000,Spider-Man 3,5.9,3576
2,559,Adventure,258000000,Spider-Man 3,5.9,3576
0,38757,Animation,260000000,Tangled,7.4,3330
1,38757,Family,260000000,Tangled,7.4,3330
0,99861,Action,280000000,Avengers: Age of Ultron,7.3,6767
1,99861,Adventure,280000000,Avengers: Age of Ultron,7.3,6767
2,99861,Science Fiction,280000000,Avengers: Age of Ultron,7.3,6767
0,767,Adventure,250000000,Harry Potter and the Half-Blood Prince,7.4,5293
1,767,Fantasy,250000000,Harry Potter and the Half-Blood Prince,7.4,5293
2,767,Family,250000000,Harry Potter and the Half-Blood Prince,7.4,5293
0,209112,Action,250000000,Batman v Superman: Dawn of Justice,5.7,7004
1,209112,Adventure,250000000,Batman v Superman: Dawn of Justice,5.7,7004
2,209112,Fantasy,250000000,Batman v Superman: Dawn of Justice,5.7,7004
0,1452,Adventure,270000000,Superman Returns,5.4,1400
1,1452,Fantasy,270000000,Superman Returns,5.4,1400
2,1452,Action,270000000,Superman Returns,5.4,1400
3,1452,Science Fiction,270000000,Superman Returns,5.4,1400
0,10764,Adventure,200000000,Quantum of Solace,6.1,2965
1,10764,Action,200000000,Quantum of Solace,6.1,2965
2,10764,Thriller,200000000,Quantum of Solace,6.1,2965
3,10764,Crime,200000000,Quantum of Solace,6.1,2965
0,58,Adventure,200000000,Pirates of the Caribbean: Dead Man's Chest,7.0,5246
